Name,Score,Event 1 Result,Event 1 Rank,Event 1 Score,Event 1 Std Dev,Event 1 Mean,Event 1 Standout,Event 1 Est Result,Event 1 Est Std Dev,Event 1 Est Mean,Event 1 Est Standout,Event 2 Result,Event 2 Rank,Event 2 Score,Event 2 Std Dev,Event 2 Mean,Event 2 Standout,Event 2 Est Result,Event 2 Est Std Dev,Event 2 Est Mean,Event 2 Est Standout,Event 3 Result,Event 3 Rank,Event 3 Score,Event 3 Std Dev,Event 3 Mean,Event 3 Standout,Event 3 Est Result,Event 3 Est Std Dev,Event 3 Est Mean,Event 3 Est Standout,Event 4 Result,Event 4 Rank,Event 4 Score,Event 4 Std Dev,Event 4 Mean,Event 4 Standout,Event 4 Est Result,Event 4 Est Std Dev,Event 4 Est Mean,Event 4 Est Standout,Event 5 Result,Event 5 Rank,Event 5 Score,Event 5 Std Dev,Event 5 Mean,Event 5 Standout,Event 5 Est Result,Event 5 Est Std Dev,Event 5 Est Mean,Event 5 Est Standout,Event 6 Result,Event 6 Rank,Event 6 Score,Event 6 Std Dev,Event 6 Mean,Event 6 Standout,Event 6 Est Result,Event 6 Est Std Dev,Event 6 Est Mean,Event 6 Est Standout,Event 7 Result,Event 7 Rank,Event 7 Score,Event 7 Std Dev,Event 7 Mean,Event 7 Standout,Event 7 Est Result,Event 7 Est Std Dev,Event 7 Est Mean,Event 7 Est Standout
Mathew Fraser,115,2:28.4,7,7,21.53,3:04.54,1.68,2:28.4,21.53,3:04.54,1.68,8:48.8,53,53,1:38.95,10:20.94,0.93,8:48.8,1:58.79,10:34.97,0.89,24:17.6,1,1,34.94,25:36.09,2.25,24:17.6,2:17.38,30:44.56,2.82,1:44.5,17,17,24,2:19.73,1.47,1:44.5,34.24,2:37.26,1.54,276,6,6,18.35,241.5,1.88,276.0,18.35,241.5,1.88,11:16.7,3,3,1:16.23,13:53.46,2.06,11:16.7,1:35.89,14:45.35,2.18,1:22.3,28,28,39.85,1:56.3,0.85,1:22.3,44.34,1:57.86,0.8
Scott Panchik,188,2:37.9,27,27,21.53,3:04.54,1.24,2:37.9,21.53,3:04.54,1.24,8:25.6,37,37,1:38.95,10:20.94,1.17,8:25.6,1:58.79,10:34.97,1.09,C+54,50,50,34.94,25:36.09,,28:42,2:17.38,30:44.56,0.89,1:39.2,13,13,24,2:19.73,1.69,1:39.2,34.24,2:37.26,1.7,275,8,8,18.35,241.5,1.83,275.0,18.35,241.5,1.83,12:27.9,33,33,1:16.23,13:53.46,1.12,12:27.9,1:35.89,14:45.35,1.43,1:21.8,20,20,39.85,1:56.3,0.87,1:21.8,44.34,1:57.86,0.81
Noah Ohlsen,195,2:41.6,48,48,21.53,3:04.54,1.07,2:41.6,21.53,3:04.54,1.07,7:31.1,5,5,1:38.95,10:20.94,1.72,7:31.1,1:58.79,10:34.97,1.55,C+17,15,15,34.94,25:36.09,,26:51,2:17.38,30:44.56,1.7,1:38.3,9,9,24,2:19.73,1.73,1:38.3,34.24,2:37.26,1.72,261,49,49,18.35,241.5,1.06,261.0,18.35,241.5,1.06,12:05.5,26,26,1:16.23,13:53.46,1.42,12:05.5,1:35.89,14:45.35,1.67,1:24.2,43,43,39.85,1:56.3,0.81,1:24.2,44.34,1:57.86,0.76
Dan Bailey,233,2:18.9,2,2,21.53,3:04.54,2.12,2:18.9,21.53,3:04.54,2.12,8:30.2,40,40,1:38.95,10:20.94,1.12,8:30.2,1:58.79,10:34.97,1.05,C+71,93,93,34.94,25:36.09,,29:33,2:17.38,30:44.56,0.52,1:44.5,17,17,24,2:19.73,1.47,1:44.5,34.24,2:37.26,1.54,255,72,72,18.35,241.5,0.74,255.0,18.35,241.5,0.74,11:19.5,4,4,1:16.23,13:53.46,2.02,11:19.5,1:35.89,14:45.35,2.15,1:18.9,5,5,39.85,1:56.3,0.94,1:18.9,44.34,1:57.86,0.88
Jonne Koski,250,2:17.5,1,1,21.53,3:04.54,2.18,2:17.5,21.53,3:04.54,2.18,7:46.3,8,8,1:38.95,10:20.94,1.56,7:46.3,1:58.79,10:34.97,1.42,25:47.9,3,3,34.94,25:36.09,-0.34,25:47.9,2:17.38,30:44.56,2.16,1:55.1,33,33,24,2:19.73,1.03,1:55.1,34.24,2:37.26,1.23,237,167,167,18.35,241.5,-0.25,237.0,18.35,241.5,-0.25,11:57.8,22,22,1:16.23,13:53.46,1.52,11:57.8,1:35.89,14:45.35,1.75,1:20.8,16,16,39.85,1:56.3,0.89,1:20.8,44.34,1:57.86,0.84
Alex Vigneault,269,2:27.6,5,5,21.53,3:04.54,1.72,2:27.6,21.53,3:04.54,1.72,8:12.5,23,23,1:38.95,10:20.94,1.3,8:12.5,1:58.79,10:34.97,1.2,25:39.2,2,2,34.94,25:36.09,-0.09,25:39.2,2:17.38,30:44.56,2.22,2:09.3,79,79,24,2:19.73,0.43,2:09.3,34.24,2:37.26,0.82,255,72,72,18.35,241.5,0.74,255.0,18.35,241.5,0.74,12:42.3,42,42,1:16.23,13:53.46,0.93,12:42.3,1:35.89,14:45.35,1.28,1:24.4,46,46,39.85,1:56.3,0.8,1:24.4,44.34,1:57.86,0.75
Ben Smith,274,2:49.3,83,83,21.53,3:04.54,0.71,2:49.3,21.53,3:04.54,0.71,7:56.6,13,13,1:38.95,10:20.94,1.46,7:56.6,1:58.79,10:34.97,1.33,C+5,8,8,34.94,25:36.09,,26:15,2:17.38,30:44.56,1.96,1:52.6,29,29,24,2:19.73,1.13,1:52.6,34.24,2:37.26,1.3,260,53,53,18.35,241.5,1.01,260.0,18.35,241.5,1.01,13:06.1,57,57,1:16.23,13:53.46,0.62,13:06.1,1:35.89,14:45.35,1.04,1:22.6,31,31,39.85,1:56.3,0.85,1:22.6,44.34,1:57.86,0.8
Lucas Parker,298,2:31.7,10,10,21.53,3:04.54,1.52,2:31.7,21.53,3:04.54,1.52,7:25.4,3,3,1:38.95,10:20.94,1.77,7:25.4,1:58.79,10:34.97,1.6,C+59,55,55,34.94,25:36.09,,28:57,2:17.38,30:44.56,0.78,2:11.4,86,86,24,2:19.73,0.35,2:11.4,34.24,2:37.26,0.76,257,62,62,18.35,241.5,0.84,257.0,18.35,241.5,0.84,13:19.1,72,72,1:16.23,13:53.46,0.45,13:19.1,1:35.89,14:45.35,0.9,1:19.7,10,10,39.85,1:56.3,0.92,1:19.7,44.34,1:57.86,0.86
Björgvin Karl Guðmundsson,336,2:51.1,92,92,21.53,3:04.54,0.62,2:51.1,21.53,3:04.54,0.62,8:06.8,19,19,1:38.95,10:20.94,1.36,8:06.8,1:58.79,10:34.97,1.25,C+20,16,16,34.94,25:36.09,,27:00,2:17.38,30:44.56,1.63,2:13.7,95,95,24,2:19.73,0.25,2:13.7,34.24,2:37.26,0.69,256,66,66,18.35,241.5,0.79,256.0,18.35,241.5,0.79,11:47.1,13,13,1:16.23,13:53.46,1.66,11:47.1,1:35.89,14:45.35,1.86,1:22.9,35,35,39.85,1:56.3,0.84,1:22.9,44.34,1:57.86,0.79
Aaron Hanna,353,2:53.9,115,115,21.53,3:04.54,0.49,2:53.9,21.53,3:04.54,0.49,7:17.2,2,2,1:38.95,10:20.94,1.86,7:17.2,1:58.79,10:34.97,1.66,C+79,117,117,34.94,25:36.09,,29:57,2:17.38,30:44.56,0.35,1:33.2,5,5,24,2:19.73,1.94,1:33.2,34.24,2:37.26,1.87,266,28,28,18.35,241.5,1.34,266.0,18.35,241.5,1.34,13:19.5,74,74,1:16.23,13:53.46,0.45,13:19.5,1:35.89,14:45.35,0.9,1:20.6,12,12,39.85,1:56.3,0.9,1:20.6,44.34,1:57.86,0.84
