Name,Score,Event 1 Result,Event 1 Rank,Event 1 Score,Event 1 Std Dev,Event 1 Mean,Event 1 Standout,Event 1 Est Result,Event 1 Est Std Dev,Event 1 Est Mean,Event 1 Est Standout,Event 2 Result,Event 2 Rank,Event 2 Score,Event 2 Std Dev,Event 2 Mean,Event 2 Standout,Event 2 Est Result,Event 2 Est Std Dev,Event 2 Est Mean,Event 2 Est Standout,Event 3 Result,Event 3 Rank,Event 3 Score,Event 3 Std Dev,Event 3 Mean,Event 3 Standout,Event 3 Est Result,Event 3 Est Std Dev,Event 3 Est Mean,Event 3 Est Standout,Event 4 Result,Event 4 Rank,Event 4 Score,Event 4 Std Dev,Event 4 Mean,Event 4 Standout,Event 4 Est Result,Event 4 Est Std Dev,Event 4 Est Mean,Event 4 Est Standout,Event 5 Result,Event 5 Rank,Event 5 Score,Event 5 Std Dev,Event 5 Mean,Event 5 Standout,Event 5 Est Result,Event 5 Est Std Dev,Event 5 Est Mean,Event 5 Est Standout,Event 6 Result,Event 6 Rank,Event 6 Score,Event 6 Std Dev,Event 6 Mean,Event 6 Standout,Event 6 Est Result,Event 6 Est Std Dev,Event 6 Est Mean,Event 6 Est Standout,Event 7 Result,Event 7 Rank,Event 7 Score,Event 7 Std Dev,Event 7 Mean,Event 7 Standout,Event 7 Est Result,Event 7 Est Std Dev,Event 7 Est Mean,Event 7 Est Standout
Camille Leblanc-Bazinet,116,2:42.2,17,17,31.21,3:22.71,1.3,2:42.2,31.21,3:22.71,1.3,9:47.9,24,24,1:50.4,12:33.01,1.5,9:47.9,2:04.57,12:58.75,1.53,C+61,45,45,36.49,25:05.84,,29:03,2:28.76,31:44.03,1.08,1:43.1,12,12,25.83,2:18.15,1.36,1:43.1,37.92,2:55.74,1.92,187,7,7,16.06,155.2,1.98,187.0,16.06,155.2,1.98,13:49.1,6,6,46.45,14:52.56,1.37,13:49.1,1:11.71,16:43.43,2.43,1:29.6,5,5,1:06.6,3:21.34,1.68,1:29.6,1:28.13,3:52.03,1.62
Ragnheiður Sara Sigmundsdottir,134,2:29.5,6,6,31.21,3:22.71,1.7,2:29.5,31.21,3:22.71,1.7,9:33.7,16,16,1:50.4,12:33.01,1.62,9:33.7,2:04.57,12:58.75,1.65,24:45.0,3,3,36.49,25:05.84,0.57,24:45,2:28.76,31:44.03,2.82,2:41.4,84,84,25.83,2:18.15,-0.9,2:41.4,37.92,2:55.74,0.38,180,16,16,16.06,155.2,1.54,180.0,16.06,155.2,1.54,13:00.0,1,1,46.45,14:52.56,2.42,13:00,1:11.71,16:43.43,3.12,1:31.7,8,8,1:06.6,3:21.34,1.65,1:31.7,1:28.13,3:52.03,1.59
Michele Letendre,161,2:49.6,35,35,31.21,3:22.71,1.06,2:49.6,31.21,3:22.71,1.06,10:27.5,38,38,1:50.4,12:33.01,1.14,10:27.5,2:04.57,12:58.75,1.21,C+22,16,16,36.49,25:05.84,,27:06,2:28.76,31:44.03,1.87,2:09.5,44,44,25.83,2:18.15,0.33,2:09.5,37.92,2:55.74,1.22,182,12,12,16.06,155.2,1.67,182.0,16.06,155.2,1.67,13:40.7,4,4,46.45,14:52.56,1.55,13:40.7,1:11.71,16:43.43,2.55,1:38.1,12,12,1:06.6,3:21.34,1.55,1:38.1,1:28.13,3:52.03,1.52
Annie Thorisdottir,170,2:29.1,4,4,31.21,3:22.71,1.72,2:29.1,31.21,3:22.71,1.72,10:23.0,36,36,1:50.4,12:33.01,1.18,10:23,2:04.57,12:58.75,1.25,C+46,23,23,36.49,25:05.84,,28:18,2:28.76,31:44.03,1.38,1:31.5,4,4,25.83,2:18.15,1.81,1:31.5,37.92,2:55.74,2.22,176,20,20,16.06,155.2,1.3,176.0,16.06,155.2,1.3,14:54.8,19,19,46.45,14:52.56,-0.05,14:54.8,1:11.71,16:43.43,1.51,2:26.6,64,64,1:06.6,3:21.34,0.82,2:26.6,1:28.13,3:52.03,0.97
Dani Horan,190,2:51.2,43,43,31.21,3:22.71,1.01,2:51.2,31.21,3:22.71,1.01,10:04.0,30,30,1:50.4,12:33.01,1.35,10:04,2:04.57,12:58.75,1.4,C+49,27,27,36.49,25:05.84,,28:27,2:28.76,31:44.03,1.32,2:05.3,41,41,25.83,2:18.15,0.5,2:05.3,37.92,2:55.74,1.33,176,20,20,16.06,155.2,1.3,176.0,16.06,155.2,1.3,13:47.4,5,5,46.45,14:52.56,1.4,13:47.4,1:11.71,16:43.43,2.45,1:57.3,24,24,1:06.6,3:21.34,1.26,1:57.3,1:28.13,3:52.03,1.3
Thuridur Erla Helgadottir,213,3:02.4,89,89,31.21,3:22.71,0.65,3:02.4,31.21,3:22.71,0.65,9:04.6,8,8,1:50.4,12:33.01,1.89,9:04.6,2:04.57,12:58.75,1.88,C+52,31,31,36.49,25:05.84,,28:36,2:28.76,31:44.03,1.26,1:55.7,26,26,25.83,2:18.15,0.87,1:55.7,37.92,2:55.74,1.58,172,41,41,16.06,155.2,1.05,172.0,16.06,155.2,1.05,14:00.5,9,9,46.45,14:52.56,1.12,14:00.5,1:11.71,16:43.43,2.27,1:33.0,9,9,1:06.6,3:21.34,1.63,1:33,1:28.13,3:52.03,1.58
Kristin Holte,218,2:31.8,9,9,31.21,3:22.71,1.63,2:31.8,31.21,3:22.71,1.63,9:23.9,13,13,1:50.4,12:33.01,1.71,9:23.9,2:04.57,12:58.75,1.72,23:52.0,1,1,36.49,25:05.84,2.02,23:52,2:28.76,31:44.03,3.17,1:36.2,8,8,25.83,2:18.15,1.62,1:36.2,37.92,2:55.74,2.1,162,92,92,16.06,155.2,0.42,162.0,16.06,155.2,0.42,14:13.9,12,12,46.45,14:52.56,0.83,14:13.9,1:11.71,16:43.43,2.09,2:41.8,83,83,1:06.6,3:21.34,0.59,2:41.8,1:28.13,3:52.03,0.8
Kara Webb,220,2:33.8,10,10,31.21,3:22.71,1.57,2:33.8,31.21,3:22.71,1.57,8:17.6,2,2,1:50.4,12:33.01,2.31,8:17.6,2:04.57,12:58.75,2.26,25:41.5,9,9,36.49,25:05.84,-0.98,25:41.5,2:28.76,31:44.03,2.44,2:56.7,105,105,25.83,2:18.15,-1.49,2:56.7,37.92,2:55.74,-0.03,181,14,14,16.06,155.2,1.61,181.0,16.06,155.2,1.61,C+5,65,65,46.45,14:52.56,,16:05,1:11.71,16:43.43,0.54,1:45.1,15,15,1:06.6,3:21.34,1.44,1:45.1,1:28.13,3:52.03,1.44
Margaux Alvarez,262,2:35.3,11,11,31.21,3:22.71,1.52,2:35.3,31.21,3:22.71,1.52,9:33.4,15,15,1:50.4,12:33.01,1.63,9:33.4,2:04.57,12:58.75,1.65,C+44,22,22,36.49,25:05.84,,28:12,2:28.76,31:44.03,1.43,2:39.1,82,82,25.83,2:18.15,-0.81,2:39.1,37.92,2:55.74,0.44,172,41,41,16.06,155.2,1.05,172.0,16.06,155.2,1.05,C+7,72,72,46.45,14:52.56,,16:07,1:11.71,16:43.43,0.51,1:53.0,19,19,1:06.6,3:21.34,1.33,1:53,1:28.13,3:52.03,1.35
Amanda Goodman,262,2:49.7,36,36,31.21,3:22.71,1.06,2:49.7,31.21,3:22.71,1.06,9:59.9,29,29,1:50.4,12:33.01,1.39,9:59.9,2:04.57,12:58.75,1.44,C+103,119,119,36.49,25:05.84,,31:15,2:28.76,31:44.03,0.2,2:02.0,34,34,25.83,2:18.15,0.63,2:02,37.92,2:55.74,1.42,185,10,10,16.06,155.2,1.86,185.0,16.06,155.2,1.86,15:28.1,33,33,46.45,14:52.56,-0.77,15:28.1,1:11.71,16:43.43,1.05,1:21.0,1,1,1:06.6,3:21.34,1.81,1:21,1:28.13,3:52.03,1.71
